project,middle_commit,middle_commit_date,middle_index,total_commits,QT_COMMIT_BFR,QT_COMMIT_AFT
NLua/NLua,c37f241959e9f31fa8eb709404a3727bd55dfa44,2013-10-01 20:11:02 -0300,216,433,217,217
peachpiecompiler/peachpie,4971e8751598231520398b7bb70091154a540147,2017-03-17 17:53:26 +0100,1633,3266,1634,1634
neo-project/neo,872f75381075cc04aa5e6081f3a2ce087a6e7650,2016-10-15 16:47:04 +0800,201,402,202,202
liangxiegame/QFramework,6c92ce1070d0997890c85b25d98a0ea0c2726fa6,2018-02-07 13:14:33 +0800,281,563,282,282
microsoft/MixedRealityToolkit-Unity,376d078cc238c50b3f3d440cf32213cfacca51da,2017-08-31 18:24:24 -0700,2040,4080,2041,2041
dotnetcore/WTM,159ae50f81cae2ee255eeb8a6d7a21a20a919d02,2018-05-24 23:33:28 +0800,3,6,4,4
sta/websocket-sharp,bb561ee5c07a068ae617c82aed2caf984d99cbda,2016-06-29 14:47:53 +0900,1481,2962,1482,1482
aelij/RoslynPad,41d9037b67c0e1eac275b744bc5ed12c794769bf,2017-04-02 13:21:52 +0300,149,299,150,150
FastReports/FastReport,,2021-05-18 14:20:51 +0300,0,1,1,1
permissions-dispatcher/PermissionsDispatcher,b90696c249f1949437025a24901ed3c9199a9a12,2016-11-25 10:29:15 +0900,289,579,290,290
f2prateek/dart,593cc4634149a4b28d4b465e5193d9fa2faf1f68,2016-02-27 18:10:49 +0000,159,319,160,160
sjwall/MaterialTapTargetPrompt,f2256aa4320a53abffffd1d4030728245731c0c8,2017-07-02 14:23:13 +0100,195,390,196,196
ikarus23/MifareClassicTool,b42892e67c0fbf0dc99b191f54bbdb8424aad3d5,2014-07-14 23:20:41 +0200,304,608,305,305
aNNiMON/Lightweight-Stream-API,575a5559c9aec44d7d55a29abd232d5ecf67339b,2016-09-07 15:05:36 +0300,283,566,284,284
vipshop/Saturn,3ff50856f5aa40fa8cc14de895cb0340b41a1fd1,2017-10-25 13:43:18 +0800,995,1990,996,996
openhab/openhab-addons,62b763e2509742f6f814364bfb7574371c6cb82d,2016-07-22 11:53:40 +0200,1242,2484,1243,1243
lightbend/config,7e0c60c0a08da8112595cfd5511578a6699c4afb,2013-12-12 15:02:17 -0500,468,937,469,469
kyleduo/SwitchButton,3805d1661aaf32001de62bbe3dc19580a6056c8a,2015-11-03 21:03:06 +0800,80,161,81,81
locationtech/jts,c198b2fab35968b0ffaae2030f971f33e44df034,2013-01-11 17:51:23 +0000,720,1441,721,721
AnySoftKeyboard/AnySoftKeyboard,36d5645d203f1ebfa9ebaabb4f5ab65210adefea,2013-11-06 13:44:14 -0500,2666,5332,2668,2668
jlegewie/zotfile,277cf2223bf38acf79c6e30bfb28fd1ea0851d01,2013-04-29 15:39:35 +0200,519,1038,520,520
ninjaframework/ninja,d140f095a126302458b02f32914632e709e464fa,2014-03-17 20:12:39 +0100,1072,2144,1073,1073
noties/Markwon,1ea04500258ee0d6db6807e00ef200c2f9753562,2017-05-27 14:45:46 +0300,29,58,30,30
vanniktech/Emoji,a496e294e580a67ef80505fd894f188bc2b2f41a,2017-05-09 09:30:55 +0200,73,147,74,74
Netflix/EVCache,b063236a18c86a785dfa3679f1f44aa68bfa8729,2016-09-01 16:17:09 -0700,246,492,247,247
jknack/handlebars.java,6327c7d35bc3d6736e1d3005a1092b8a074d2d9a,2013-07-24 00:41:35 +0300,456,913,457,457
Baeldung/spring-security-oauth,f2b7f806afd7eefccb6b2d00c2805d42a078561b,2017-04-13 14:18:39 +0200,82,165,83,83
justauth/JustAuth,,2021-05-11 12:28:38 +0800,0,1,1,1
jfinal/jfinal,34b8c992f08a6aeadf4868b20f85262af5527302,2017-06-20 02:43:08 +0800,255,510,256,256
evanw/node-source-map-support,61e1237d159d48a7129e745d2bce5f5a3c7eaf16,2015-06-24 23:03:03 -0700,128,257,129,129
rwieruch/favesound-redux,7e3f1db7ab8d5019097b560054fc2062a4b990b4,2016-05-08 19:05:23 +0200,184,368,185,185
standardnotes/web,0070c9e460a747690d5a62ceb32d7775017b530c,2017-04-28 10:35:51 -0500,315,631,316,316
mikehostetler/amplify,da0feefa7a7760fc7990221fba43970cac994194,2011-06-06 22:00:20 -0400,108,217,109,109
yujiosaka/headless-chrome-crawler,f6e658165587a317c74af14970a3bba8e2e3e264,2018-01-19 12:39:53 +0900,489,979,491,491
nhn/tui.chart,9235c7ab3f79607e6a6961334b0dd2369a0822fc,2016-08-11 19:13:22 +0900,1028,2056,1029,1029
verlok/lazyload,eedfab46cbba3376846ff134071a78f9460e1159,2017-04-15 23:06:50 +0200,336,672,337,337
nodegit/nodegit,4bee8a838619b01c887bbe57d5d6afe39ffbf06e,2015-02-19 08:05:22 -0700,1625,3251,1626,1626
tomchentw/react-google-maps,a9ebb3e286aa29c62d7a1fc092c62330b87c182b,2016-02-21 14:27:09 +0800,469,939,470,470
koajs/examples,ae9d06c35c0b4b687e9480b5087ec0d124149360,2014-08-07 23:57:45 +0800,105,210,106,106
stripe/stripe-node,a244203327f51b497ab7ad9fe5e581372381eb07,2015-08-03 13:52:00 -0700,336,672,337,337
xiaolin3303/wx-charts,79ed9f3db01cda4b7a4ed3ca3222b876e5182d45,2016-12-23 10:16:09 +0800,87,174,88,88
yeoman/generator-webapp,fe55349df485514c6b2a3aeab0b7f6f6338f3c32,2014-05-15 01:13:29 +0200,684,1368,685,685
wux-weapp/wux-weapp,8a860661cc7b5d07b4e518bddb91e012288c0c3d,2017-03-16 10:49:55 +0800,36,72,37,37
conventional-changelog/commitlint,2915271b6b262929eeee2772c175dc9485827cb8,2017-07-11 09:46:03 +0200,433,866,524,524
sidorares/node-mysql2,8e11223b49349f58a774857f100d0ac5c1ddbc27,2016-05-05 22:54:00 -0700,772,1544,773,773
ronggang/PT-Plugin-Plus,,2021-01-08 22:41:23 +0800,0,1,1,1
marioizquierdo/jquery.serializeJSON,69b37acbd7292c17b10493192c5f0881088c9800,2014-10-11 22:51:15 -0700,89,179,90,90
gemini-testing/gemini,35fc4e8cacd32362f364ff1d460c3e85c3e60ba8,2016-01-22 21:40:48 +0300,801,1603,802,802
lando/lando,a3be15f5f14c9d93b9e8cd3886447afd38fdffec,2017-10-30 19:31:04 -0700,753,1506,754,754
box/Anemometer,59c859a7697463639e0992143807224693af291e,2013-12-17 10:06:23 -0800,106,212,107,107
ecomfe/echarts-gl,376ed64541eca92d78a243efca66144a5fd3203a,2017-04-08 18:13:45 +0800,334,668,335,335
Sainan/Universal-Bypass,aac770b3e045aa1119594f07fe0bb90db8d92a5c,2018-04-04 21:52:49 +0200,22,45,23,23
skulpt/skulpt,34cc5b9a01ae8e9cfe3c3b78a60ac88242db6d39,2014-06-24 15:00:31 -0500,1556,3112,1557,1557
algorithm-visualizer/algorithm-visualizer,0332324f1ed03be00397aac12373825eab8d21a8,2016-05-31 19:21:35 -0700,622,1245,624,624
zerobias/effector,e5919ef936c63ea9a34d7ccb33b06ef1b98dc3c1,2018-04-27 08:19:00 +0300,175,350,176,176
streamlink/streamlink-twitch-gui,c9fa1f4788217639bfdd291eeb8cf919350f318e,2016-02-23 20:05:40 +0100,1026,2052,1027,1027
solkimicreb/react-easy-state,0b355a731515ab887eb34064c75a7eb75bebdbbb,2017-11-19 20:37:44 +0100,91,183,92,92
onmyway133/PushNotifications,5b8a7c2004e5741f910e7f32256928435a81ac21,2017-08-15 16:26:31 +0200,45,91,46,46
tantaman/Strut,99c300239ea5806aca5061927fb23146abd3b13b,2013-05-15 19:40:49 -0400,678,1356,679,679
kefirjs/kefir,d6bf9ba599b0d4f3dbff1ee6025c7202621735f5,2015-02-22 18:58:18 +0300,704,1409,705,705
fluture-js/Fluture,6de7c741e66327021ef04be72a6ad7775251ed29,2017-01-04 17:19:30 +0100,387,775,388,388
zdhxiong/mdui,bcea93ea47a0fc18049eb9f77f1cd7ecb748698d,2016-10-17 14:51:04 +0800,227,454,228,228
reactjs/react-codemod,6b618bac9128167f7c13392957db2d67438a2f6f,2016-07-20 13:29:31 -0700,107,214,108,108
LuckDraw/vue-luck-draw,,2021-04-25 19:26:03 +0800,0,1,1,1
matthewmueller/x-ray,58cb4043693aeac86f3b472b9c1650325b909b99,2016-03-20 23:03:46 +0100,119,239,120,120
hackmdio/codimd,c5de552988810766ad56f0ea1550bb1c6d5f5a2a,2016-11-07 21:31:21 +0800,835,1670,836,836
php-amqplib/RabbitMqBundle,d85233f6b578e43cbc92fb899fb7d97bc0b8fcde,2014-04-23 11:08:46 +0200,320,640,321,321
vyuldashev/laravel-queue-rabbitmq,61cc707e7b1130058428218bcafcf57032f4d10e,2016-10-18 08:58:15 +1000,156,313,157,157
mherrmann/fbs,9111ac010b5ae10da5eb1aee99586c3977eceef6,2018-01-08 11:24:11 +0100,43,87,44,44
playframework/play1,e0b1b78477dd81c63474c55e56b57f077dd36dcd,2011-05-25 20:43:30 +0200,3035,6070,3036,3036
n1nj4sec/pupy,6e48ea897c17ba1c1f69803b44ff8bf1dab20dc6,2017-03-11 13:42:16 +0200,1146,2292,1147,1147
PeterDing/iScript,0385172696420f0f221f6e22bd38d0038a622538,2014-07-19 11:27:44 +0800,250,500,251,251
arc298/instagram-scraper,7a9753fa0f6d4ac3a56e0640c9fc0529a533cbf8,2017-05-04 23:24:14 -0400,116,232,117,117
b-ryan/powerline-shell,1ea9b7f5aef33be3c21425d5a5d128c18ee35c7c,2015-11-18 22:56:34 -0500,279,559,280,280
detailyang/awesome-cheatsheet,a1db5673c226dbd1d5cb720b0f4bb7bba8a41238,2016-06-05 22:02:03 +0800,185,370,186,186
flask-restful/flask-restful,3b606dbbc645665d6e3d0e3dc6ba619b11caea0a,2014-05-21 09:38:08 -0700,403,807,404,404
jupyterhub/jupyterhub,ad52398087cd7fc008b5d7c63ff425cf7748db23,2017-01-25 13:52:14 +0100,1448,2897,1449,1449
pallets/werkzeug,6cde94ced5da51bafc131baab643bc4cb3431ad6,2013-05-18 23:42:42 +0900,1813,3627,1814,1814
dmlc/gluon-nlp,e082516478b7b9dea0a518898c6d6e0390cab28f,2018-04-21 22:37:11 -0700,45,91,46,46
rbreaves/kinto,,2021-06-05 02:37:51 -0500,0,1,1,1
tartley/colorama,405a8adf39d3e91230cc3388342347083aac5e89,2015-01-06 15:22:22 +0200,89,179,90,90
ActivityWatch/activitywatch,2f413d46b70ccc9392b3b461a9887d12efe49524,2017-05-30 03:15:16 +0200,227,455,228,228
spulec/freezegun,08c2f88e7023522ed495ab3cebc4192af64aa80b,2014-12-29 13:15:04 -0500,198,396,199,199
leon-thomm/Ryven,,2021-06-11 13:24:25 +0200,0,1,1,1
binarylogic/authlogic,d1fdc90351697fc892b16baaf0ea381a9ca17e62,2012-07-12 00:59:07 +0100,470,941,471,471
lewagon/setup,16caeff58f67c0def3dfe13b0a1e3843069574fb,2015-12-26 13:04:32 +0100,114,229,115,115
jmettraux/rufus-scheduler,4f65260f8c61c205365745e99a20b10074189bf1,2013-10-18 13:44:30 -0700,562,1125,563,563
carolcodes/videos-pt.br-tecnologia,,2021-05-20 08:22:57 -0300,0,1,1,1
consul/consul,54bd5aeeb1e645b6fe4bfc6d1a08fc858e06f0f2,2016-12-22 20:26:21 +0100,4594,9188,4595,4595
gocardless/statesman,631739d533d34e74a52ca14977ea03a158161d03,2014-12-08 11:59:11 +0000,307,614,308,308
newrelic/newrelic-ruby-agent,6ee95b06fe25be8631f1f0337f4dedcb4f1eb0e9,2013-08-28 17:05:03 -0700,6422,12844,6423,6423
railwaycat/homebrew-emacsmacport,1ec9b2fde7d4376eef7134ddb49e449d96c9f385,2015-12-10 14:12:14 -0500,89,179,90,90
ruby-amqp/bunny,9c63df008dfd7662b1aba542b5835a6bbcb7a3fb,2013-10-02 00:02:06 +0400,1305,2611,1306,1306
education/classroom,feaaaa870e7c007da01de5d06117dd6658304390,2016-08-11 18:46:15 -0400,1693,3386,1694,1694
magnusvk/counter_culture,c3c76530b50a02b86803d13ecbbae1b7b2f25fed,2016-04-21 11:16:05 +1000,256,513,257,257
gjtorikian/html-proofer,89a4335b4715eac147dfd964fc90d2c85dbd0295,2015-04-21 12:56:33 -0700,608,1216,609,609
SlatherOrg/slather,1f58caa9ce42ef243ce572a38d4a9af6a9b0c624,2015-06-08 14:21:49 -0700,352,705,353,353
